Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S000235;01/01/2021;23:05;AVDA. RAFAELA YBARRA / CALL. MARCELO USERA;-;USERA;Alcance;Se desconoce;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;
2021S000235;01/01/2021;23:05;AVDA. RAFAELA YBARRA / CALL. MARCELO USERA;-;USERA;Alcance;Se desconoce;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2021S000021;01/01/2021;22:57;CALL. BEMBIBRE / CALL. BACARES;-;HORTALEZA;Choque contra obstáculo fijo;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2021S000021;01/01/2021;22:57;CALL. BEMBIBRE / CALL. BACARES;-;HORTALEZA;Choque contra obstáculo fijo;;Turismo;Pasajero;DE 6 A 9 AÑOS;Mujer;14
2021S000021;01/01/2021;22:57;CALL. BEMBIBRE / CALL. BACARES;-;HORTALEZA;Choque contra obstáculo fijo;;Turismo;Conductor;DESCONOCIDA;;
2021S000021;01/01/2021;22:57;CALL. BEMBIBRE / CALL. BACARES;-;HORTALEZA;Choque contra obstáculo fijo;;Turismo;Conductor;DESCONOCIDA;;
2021S000116;01/01/2021;22:40;CALL. RAMON ARECES / AUTOV. M-30;-;MORATALAZ;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2021S000022;01/01/2021;22:30;AVDA. ALBUFERA / CALL. LOPEZ GRASS;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14
2021S000022;01/01/2021;22:30;AVDA. ALBUFERA / CALL. LOPEZ GRASS;-;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;02
2021S000052;01/01/2021;22:00;CALL. SAN GUMERSINDO / CALL. BENIDORM;-;CIUDAD LINEAL;Colisión lateral;Despejado;Motocicleta > 125cc;Conductor;DE 21 A 24 AÑOS;Hombre;07
2021S000052;01/01/2021;22:00;CALL. SAN GUMERSINDO / CALL. BENIDORM;-;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S000163;01/01/2021;18:50;CALL. MENDEZ ALVARO;83;ARGANZUELA;Choque contra obstáculo fijo;;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;14
2021S000163;01/01/2021;18:50;CALL. MENDEZ ALVARO;83;ARGANZUELA;Choque contra obstáculo fijo;;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;14
